roi_formatted,subj,phase,trained,correct
ENT,110171,post,False,0.2375
ENT,110171,post,True,0.325
ENT,110171,pre,False,0.225
ENT,110171,pre,True,0.25
ENT,110172,post,False,0.3
ENT,110172,post,True,0.3375
ENT,110172,pre,False,0.3375
ENT,110172,pre,True,0.175
ENT,111171,post,False,0.2375
ENT,111171,post,True,0.275
ENT,111171,pre,False,0.2125
ENT,111171,pre,True,0.2375
ENT,112171,post,False,0.3
ENT,112171,post,True,0.2875
ENT,112171,pre,False,0.25
ENT,112171,pre,True,0.25
ENT,112172,post,False,0.2625
ENT,112172,post,True,0.3125
ENT,112172,pre,False,0.2
ENT,112172,pre,True,0.1625
ENT,112173,post,False,0.275
ENT,112173,post,True,0.2625
ENT,112173,pre,False,0.225
ENT,112173,pre,True,0.25
ENT,113171,post,False,0.225
ENT,113171,post,True,0.225
ENT,113171,pre,False,0.1625
ENT,113171,pre,True,0.3125
ENT,115174,post,False,0.2
ENT,115174,post,True,0.2375
ENT,115174,pre,False,0.25
ENT,115174,pre,True,0.225
ENT,117171,post,False,0.3625
ENT,117171,post,True,0.2875
ENT,117171,pre,False,0.2375
ENT,117171,pre,True,0.1375
ENT,118171,post,False,0.325
ENT,118171,post,True,0.2
ENT,118171,pre,False,0.2875
ENT,118171,pre,True,0.2125
ENT,118172,post,False,0.3
ENT,118172,post,True,0.25
ENT,118172,pre,False,0.2375
ENT,118172,pre,True,0.225
ENT,119171,post,False,0.175
ENT,119171,post,True,0.275
ENT,119171,pre,False,0.3375
ENT,119171,pre,True,0.2375
ENT,119172,post,False,0.3
ENT,119172,post,True,0.15
ENT,119172,pre,False,0.325
ENT,119172,pre,True,0.2
ENT,119173,post,False,0.2375
ENT,119173,post,True,0.2375
ENT,119173,pre,False,0.2125
ENT,119173,pre,True,0.2375
ENT,119174,post,False,0.35
ENT,119174,post,True,0.2875
ENT,119174,pre,False,0.2625
ENT,119174,pre,True,0.225
ENT,120171,post,False,0.2625
ENT,120171,post,True,0.2375
ENT,120171,pre,False,0.225
ENT,120171,pre,True,0.2375
ENT,120172,post,False,0.2875
ENT,120172,post,True,0.2625
ENT,120172,pre,False,0.25
ENT,120172,pre,True,0.225
ENT,120173,post,False,0.3125
ENT,120173,post,True,0.2625
ENT,120173,pre,False,0.15
ENT,120173,pre,True,0.2125
ENT,123171,post,False,0.3
ENT,123171,post,True,0.2625
ENT,123171,pre,False,0.2625
ENT,123171,pre,True,0.2125
ENT,123173,post,False,0.3125
ENT,123173,post,True,0.25
ENT,123173,pre,False,0.275
ENT,123173,pre,True,0.325
ENT,124171,post,False,0.2125
ENT,124171,post,True,0.1875
ENT,124171,pre,False,0.3
ENT,124171,pre,True,0.2625
ENT,125171,post,False,0.2375
ENT,125171,post,True,0.2875
ENT,125171,pre,False,0.2625
ENT,125171,pre,True,0.2625
ENT,125172,post,False,0.2875
ENT,125172,post,True,0.225
ENT,125172,pre,False,0.1875
ENT,125172,pre,True,0.25
ENT,1121161,post,False,0.225
ENT,1121161,post,True,0.15
ENT,1121161,pre,False,0.175
ENT,1121161,pre,True,0.25
ENT,1130161,post,False,0.2125
ENT,1130161,post,True,0.325
ENT,1130161,pre,False,0.2125
ENT,1130161,pre,True,0.2875
ENT,1202161,post,False,0.2
ENT,1202161,post,True,0.225
ENT,1202161,pre,False,0.0875
ENT,1202161,pre,True,0.3625
ENT,1203161,post,False,0.1875
ENT,1203161,post,True,0.275
ENT,1203161,pre,False,0.2375
ENT,1203161,pre,True,0.3125
ENT,1206161,post,False,0.225
ENT,1206161,post,True,0.3
ENT,1206161,pre,False,0.2
ENT,1206161,pre,True,0.2375
ENT,1206162,post,False,0.325
ENT,1206162,post,True,0.225
ENT,1206162,pre,False,0.2
ENT,1206162,pre,True,0.325
ENT,1206163,post,False,0.2
ENT,1206163,post,True,0.2625
ENT,1206163,pre,False,0.3
ENT,1206163,pre,True,0.275
ENT,1207162,post,False,0.175
ENT,1207162,post,True,0.1875
ENT,1207162,pre,False,0.325
ENT,1207162,pre,True,0.15
FUS,110171,post,False,0.25
FUS,110171,post,True,0.175
FUS,110171,pre,False,0.2875
FUS,110171,pre,True,0.425
FUS,110172,post,False,0.2
FUS,110172,post,True,0.225
FUS,110172,pre,False,0.275
FUS,110172,pre,True,0.325
FUS,111171,post,False,0.1375
FUS,111171,post,True,0.325
FUS,111171,pre,False,0.2125
FUS,111171,pre,True,0.2875
FUS,112171,post,False,0.4
FUS,112171,post,True,0.2125
FUS,112171,pre,False,0.2375
FUS,112171,pre,True,0.3625
FUS,112172,post,False,0.2625
FUS,112172,post,True,0.25
FUS,112172,pre,False,0.2625
FUS,112172,pre,True,0.2375
FUS,112173,post,False,0.2625
FUS,112173,post,True,0.275
FUS,112173,pre,False,0.2125
FUS,112173,pre,True,0.3
FUS,113171,post,False,0.2625
FUS,113171,post,True,0.3
FUS,113171,pre,False,0.2625
FUS,113171,pre,True,0.2875
FUS,115174,post,False,0.175
